"anio_regis","week_regis","ent_regis","deaths_count","channel_endemic_estimation","farrington_estimation_all","farrington_partial","name","abr","date_ref"
2020,3,3,90,79.8,116.440238541952,116.440238541952,"BAJA CALIFORNIA SUR","BS",2020-01-15
2020,3,4,73,93.8,105.332704289048,105.332704289048,"CAMPECHE","CC",2020-01-15
2020,3,5,386,431.2,547.844298498389,547.844298498389,"COAHUILA","CL",2020-01-15
2020,3,6,85,103,123.40246092603,123.40246092603,"COLIMA","CM",2020-01-15
2020,3,7,549,599.6,648.380883735873,648.380883735873,"CHIAPAS","CS",2020-01-15
2020,3,8,627,614.8,648.713764565326,648.713764565326,"CHIHUAHUA","CH",2020-01-15
2020,3,9,1707,1757.6,1908.51682221322,1908.51682221322,"CIUDAD DE MÉXICO","DF",2020-01-15
2020,3,10,212,254.2,278.276788598696,278.276788598696,"DURANGO","DG",2020-01-15
2020,3,11,847,807.4,1020.66865966092,1020.66865966092,"GUANAJUATO","GT",2020-01-15
2020,3,12,334,484.4,630.702654546879,630.702654546879,"GUERRERO","GR",2020-01-15
2020,3,13,327,438,571.129229083885,571.129229083885,"HIDALGO","HG",2020-01-15
2020,3,14,1081,1093.4,1283.94644886595,1283.94644886595,"JALISCO","JC",2020-01-15
2020,3,15,1809,1870.6,2196.16994985497,2196.16994985497,"MÉXICO","MC",2020-01-15
2020,3,16,613,639.6,731.656195173086,731.656195173086,"MICHOACÁN","MN",2020-01-15
2020,3,17,278,316.8,313.760075151152,313.760075151152,"MORELOS","MS",2020-01-15
2020,3,18,164,157.6,167.643391461725,167.643391461725,"NAYARIT","NT",2020-01-15
2020,3,19,678,781.2,931.201973620311,931.201973620311,"NUEVO LEÓN","NL",2020-01-15
2020,3,20,498,579.6,634.85559004075,634.85559004075,"OAXACA","OC",2020-01-15
2020,3,21,821,860.6,1058.78578554748,1058.78578554748,"PUEBLA","PL",2020-01-15
2020,3,22,249,248.6,296.584521989861,296.584521989861,"QUERÉTARO","QT",2020-01-15
