"date_ref","name","metric","deaths"
2020-01-01,"TABASCO","channel_endemic_estimation",291.6
2020-01-01,"TABASCO","farrington_estimation_all",384.286978396773
2020-01-01,"TABASCO","farrington_partial",384.286978396773
2020-01-01,"TAMAULIPAS","deaths_count",485
2020-01-01,"TAMAULIPAS","channel_endemic_estimation",358.2
2020-01-01,"TAMAULIPAS","farrington_estimation_all",520.229956642306
2020-01-01,"TAMAULIPAS","farrington_partial",520.229956642306
2020-01-01,"TLAXCALA","deaths_count",145
2020-01-01,"TLAXCALA","channel_endemic_estimation",157.8
2020-01-01,"TLAXCALA","farrington_estimation_all",191.993785134985
2020-01-01,"TLAXCALA","farrington_partial",191.993785134985
2020-01-01,"VERACRUZ","deaths_count",1196
2020-01-01,"VERACRUZ","channel_endemic_estimation",1096.6
2020-01-01,"VERACRUZ","farrington_estimation_all",1333.48319092243
2020-01-01,"VERACRUZ","farrington_partial",1333.48319092243
2020-01-01,"YUCATÁN","deaths_count",282
2020-01-01,"YUCATÁN","channel_endemic_estimation",279.8
2020-01-01,"YUCATÁN","farrington_estimation_all",301.231424525179
2020-01-01,"YUCATÁN","farrington_partial",301.231424525179
2020-01-01,"ZACATECAS","deaths_count",280
2020-01-01,"ZACATECAS","channel_endemic_estimation",274.4
2020-01-01,"ZACATECAS","farrington_estimation_all",311.528054985047
2020-01-01,"ZACATECAS","farrington_partial",311.528054985047
2020-01-08,"AGUASCALIENTES","deaths_count",168
2020-01-08,"AGUASCALIENTES","channel_endemic_estimation",196.6
2020-01-08,"AGUASCALIENTES","farrington_estimation_all",212.414446482153
2020-01-08,"AGUASCALIENTES","farrington_partial",212.414446482153
2020-01-08,"BAJA CALIFORNIA","deaths_count",616
2020-01-08,"BAJA CALIFORNIA","channel_endemic_estimation",552.6
2020-01-08,"BAJA CALIFORNIA","farrington_estimation_all",665.094051489232
2020-01-08,"BAJA CALIFORNIA","farrington_partial",665.094051489232
2020-01-08,"BAJA CALIFORNIA SUR","deaths_count",95
2020-01-08,"BAJA CALIFORNIA SUR","channel_endemic_estimation",84.2
2020-01-08,"BAJA CALIFORNIA SUR","farrington_estimation_all",110.169204255399
2020-01-08,"BAJA CALIFORNIA SUR","farrington_partial",110.169204255399
2020-01-08,"CAMPECHE","deaths_count",100
2020-01-08,"CAMPECHE","channel_endemic_estimation",109.6
2020-01-08,"CAMPECHE","farrington_estimation_all",96.7893161545873
2020-01-08,"CAMPECHE","farrington_partial",96.7893161545873
2020-01-08,"COAHUILA","deaths_count",438
2020-01-08,"COAHUILA","channel_endemic_estimation",485.6
2020-01-08,"COAHUILA","farrington_estimation_all",549.130946963464
2020-01-08,"COAHUILA","farrington_partial",549.130946963464
2020-01-08,"COLIMA","deaths_count",109
2020-01-08,"COLIMA","channel_endemic_estimation",111.4
2020-01-08,"COLIMA","farrington_estimation_all",120.116116009773
2020-01-08,"COLIMA","farrington_partial",120.116116009773
2020-01-08,"CHIAPAS","deaths_count",598
2020-01-08,"CHIAPAS","channel_endemic_estimation",613.8
