"date_ref","ent_regis","metric","deaths"
2020-08-05,"United States","channel_endemic_estimation",51437.4
2020-08-05,"United States","farrington_estimation_all",51583.5017035443
2020-08-05,"United States","farrington_partial",51583.5017035443
2020-08-12,"United States","deaths_count",63629
2020-08-12,"United States","channel_endemic_estimation",50737.6
2020-08-12,"United States","farrington_estimation_all",52493.795178907
2020-08-12,"United States","farrington_partial",52493.795178907
2020-08-19,"United States","deaths_count",62545
2020-08-19,"United States","channel_endemic_estimation",50798.4
2020-08-19,"United States","farrington_estimation_all",51761.733763199
2020-08-19,"United States","farrington_partial",51761.733763199
2020-08-26,"United States","deaths_count",61109
2020-08-26,"United States","channel_endemic_estimation",51031.2
2020-08-26,"United States","farrington_estimation_all",51947.5044116814
2020-08-26,"United States","farrington_partial",51947.5044116814
2020-09-02,"United States","deaths_count",60231
2020-09-02,"United States","channel_endemic_estimation",51496
2020-09-02,"United States","farrington_estimation_all",52963.973729301
2020-09-02,"United States","farrington_partial",52963.973729301
2020-09-09,"United States","deaths_count",59645
2020-09-09,"United States","channel_endemic_estimation",51672
2020-09-09,"United States","farrington_estimation_all",53617.09026329
2020-09-09,"United States","farrington_partial",53617.09026329
2020-09-16,"United States","deaths_count",59721
2020-09-16,"United States","channel_endemic_estimation",51689.6
2020-09-16,"United States","farrington_estimation_all",53981.2435772085
2020-09-16,"United States","farrington_partial",53981.2435772085
2020-09-23,"United States","deaths_count",60593
2020-09-23,"United States","channel_endemic_estimation",52194.8
2020-09-23,"United States","farrington_estimation_all",54414.4059619469
2020-09-23,"United States","farrington_partial",54414.4059619469
2020-09-30,"United States","deaths_count",59788
2020-09-30,"United States","channel_endemic_estimation",52482.8
2020-09-30,"United States","farrington_estimation_all",54907.5881085867
2020-09-30,"United States","farrington_partial",54907.5881085867
2020-10-07,"United States","deaths_count",61756
2020-10-07,"United States","channel_endemic_estimation",52712.8
2020-10-07,"United States","farrington_estimation_all",55585.8617815484
2020-10-07,"United States","farrington_partial",55585.8617815484
2020-10-14,"United States","deaths_count",60616
2020-10-14,"United States","channel_endemic_estimation",53798
2020-10-14,"United States","farrington_estimation_all",55960.7881568642
2020-10-14,"United States","farrington_partial",55960.7881568642
2020-10-21,"United States","deaths_count",62184
2020-10-21,"United States","channel_endemic_estimation",53936.8
2020-10-21,"United States","farrington_estimation_all",56259.9795723263
2020-10-21,"United States","farrington_partial",56259.9795723263
2020-10-28,"United States","deaths_count",63392
2020-10-28,"United States","channel_endemic_estimation",53924.2
2020-10-28,"United States","farrington_estimation_all",57160.3119949044
2020-10-28,"United States","farrington_partial",57160.3119949044
2020-11-04,"United States","deaths_count",67541
2020-11-04,"United States","channel_endemic_estimation",54848.6
2020-11-04,"United States","farrington_estimation_all",57677.0749932872
2020-11-04,"United States","farrington_partial",57677.0749932872
2020-11-11,"United States","deaths_count",68793
2020-11-11,"United States","channel_endemic_estimation",55417
2020-11-11,"United States","farrington_estimation_all",58184.4345175444
2020-11-11,"United States","farrington_partial",58184.4345175444
2020-11-18,"United States","deaths_count",71635
2020-11-18,"United States","channel_endemic_estimation",55660.8
2020-11-18,"United States","farrington_estimation_all",59037.5248627277
2020-11-18,"United States","farrington_partial",59037.5248627277
2020-11-25,"United States","deaths_count",73290
2020-11-25,"United States","channel_endemic_estimation",55308.2
2020-11-25,"United States","farrington_estimation_all",59697.0957300843
2020-11-25,"United States","farrington_partial",59697.0957300843
2020-12-02,"United States","deaths_count",77384
2020-12-02,"United States","channel_endemic_estimation",56772.8
2020-12-02,"United States","farrington_estimation_all",60173.3620157208
2020-12-02,"United States","farrington_partial",60173.3620157208
2020-12-09,"United States","deaths_count",81955
2020-12-09,"United States","channel_endemic_estimation",57549.4
2020-12-09,"United States","farrington_estimation_all",60390.6979457469
2020-12-09,"United States","farrington_partial",60390.6979457469
2020-12-16,"United States","deaths_count",82872
2020-12-16,"United States","channel_endemic_estimation",58675.2
2020-12-16,"United States","farrington_estimation_all",61939.9973722328
2020-12-16,"United States","farrington_partial",61939.9973722328
2020-12-23,"United States","deaths_count",84337
2020-12-23,"United States","channel_endemic_estimation",60042.2
2020-12-23,"United States","farrington_estimation_all",62409.3340980126
2020-12-23,"United States","farrington_partial",62409.3340980126
2021-01-01,"United States","deaths_count",87078
2021-01-01,"United States","channel_endemic_estimation",64390.4
2021-01-01,"United States","farrington_estimation_all",62815.3618126747
2021-01-01,"United States","farrington_partial",66204.4414539007
2021-01-08,"United States","deaths_count",87421
2021-01-08,"United States","channel_endemic_estimation",64965.8
2021-01-08,"United States","farrington_estimation_all",62853.5485572165
2021-01-08,"United States","farrington_partial",66346.3364682219
2021-01-15,"United States","deaths_count",83716
2021-01-15,"United States","channel_endemic_estimation",62507.6
2021-01-15,"United States","farrington_estimation_all",62479.3551592958
2021-01-15,"United States","farrington_partial",66431.2184771017
2021-01-22,"United States","deaths_count",79206
2021-01-22,"United States","channel_endemic_estimation",60890.8
2021-01-22,"United States","farrington_estimation_all",61786.715364073
2021-01-22,"United States","farrington_partial",65500.46563846
2021-01-29,"United States","deaths_count",76517
2021-01-29,"United States","channel_endemic_estimation",59962.8
2021-01-29,"United States","farrington_estimation_all",60783.0497935721
2021-01-29,"United States","farrington_partial",64514.94405581
2021-02-05,"United States","deaths_count",71509
2021-02-05,"United States","channel_endemic_estimation",60286.2
2021-02-05,"United States","farrington_estimation_all",60335.1258222273
2021-02-05,"United States","farrington_partial",63014.9979663247
2021-02-12,"United States","deaths_count",69511
2021-02-12,"United States","channel_endemic_estimation",59263.2
2021-02-12,"United States","farrington_estimation_all",61064.4056843183
2021-02-12,"United States","farrington_partial",61935.7214393698
2021-02-19,"United States","deaths_count",66731
2021-02-19,"United States","channel_endemic_estimation",58177.6
2021-02-19,"United States","farrington_estimation_all",61290.3074991179
2021-02-19,"United States","farrington_partial",61467.8585652336
2021-02-26,"United States","deaths_count",63687
2021-02-26,"United States","channel_endemic_estimation",57687.8
2021-02-26,"United States","farrington_estimation_all",61723.5154943328
2021-02-26,"United States","farrington_partial",60899.9889391905
2021-03-05,"United States","deaths_count",61877
2021-03-05,"United States","channel_endemic_estimation",58120.2
2021-03-05,"United States","farrington_estimation_all",63452.4225134555
2021-03-05,"United States","farrington_partial",60553.6398772531
2021-03-12,"United States","deaths_count",60365
2021-03-12,"United States","channel_endemic_estimation",57415.8
2021-03-12,"United States","farrington_estimation_all",65631.8934847071
2021-03-12,"United States","farrington_partial",60255.6422743734
2021-03-19,"United States","deaths_count",60795
2021-03-19,"United States","channel_endemic_estimation",57079.2
2021-03-19,"United States","farrington_estimation_all",69206.9981729577
2021-03-19,"United States","farrington_partial",59820.9557455462
2021-03-26,"United States","deaths_count",58677
2021-03-26,"United States","channel_endemic_estimation",56290.4
2021-03-26,"United States","farrington_estimation_all",73535.4276097381
2021-03-26,"United States","farrington_partial",59574.6108212749
2021-04-02,"United States","deaths_count",60981
2021-04-02,"United States","channel_endemic_estimation",56079.6
2021-04-02,"United States","farrington_estimation_all",77770.5550467682
2021-04-02,"United States","farrington_partial",59205.343381007
2021-04-09,"United States","deaths_count",59129
2021-04-09,"United States","channel_endemic_estimation",55388.8
2021-04-09,"United States","farrington_estimation_all",80213.2044767571
2021-04-09,"United States","farrington_partial",58803.1231410386
2021-04-16,"United States","deaths_count",60239
2021-04-16,"United States","channel_endemic_estimation",54299.2
2021-04-16,"United States","farrington_estimation_all",80941.5295448217
2021-04-16,"United States","farrington_partial",58127.5873292051
2021-04-23,"United States","deaths_count",59835
2021-04-23,"United States","channel_endemic_estimation",53701.8
2021-04-23,"United States","farrington_estimation_all",77364.9347413412
2021-04-23,"United States","farrington_partial",57738.9161338918
2021-04-30,"United States","deaths_count",58973
2021-04-30,"United States","channel_endemic_estimation",53891.4
2021-04-30,"United States","farrington_estimation_all",73545.6838469547
2021-04-30,"United States","farrington_partial",57115.4592657225
2021-05-07,"United States","deaths_count",58447
2021-05-07,"United States","channel_endemic_estimation",52932.8
2021-05-07,"United States","farrington_estimation_all",69835.875545545
2021-05-07,"United States","farrington_partial",56587.1113476257
2021-05-14,"United States","deaths_count",58723
2021-05-14,"United States","channel_endemic_estimation",53139.8
2021-05-14,"United States","farrington_estimation_all",66514.9224887444
2021-05-14,"United States","farrington_partial",54344.3961275102
2021-05-21,"United States","deaths_count",57300
2021-05-21,"United States","channel_endemic_estimation",52608.6
2021-05-21,"United States","farrington_estimation_all",64730.8840357268
2021-05-21,"United States","farrington_partial",55467.4583481336
2021-05-28,"United States","deaths_count",57389
2021-05-28,"United States","channel_endemic_estimation",52139.6
2021-05-28,"United States","farrington_estimation_all",63627.0517913066
2021-05-28,"United States","farrington_partial",54884.4907349327
2021-06-04,"United States","deaths_count",56894
2021-06-04,"United States","channel_endemic_estimation",52686.4
2021-06-04,"United States","farrington_estimation_all",63141.2974301556
2021-06-04,"United States","farrington_partial",54433.8645480084
2021-06-11,"United States","deaths_count",57169
2021-06-11,"United States","channel_endemic_estimation",52144.4
2021-06-11,"United States","farrington_estimation_all",63302.1446959656
2021-06-11,"United States","farrington_partial",54143.1726875305
2021-06-18,"United States","deaths_count",56862
2021-06-18,"United States","channel_endemic_estimation",51853.2
2021-06-18,"United States","farrington_estimation_all",63756.6675647736
2021-06-18,"United States","farrington_partial",52870.2842750107
2021-06-25,"United States","deaths_count",57421
2021-06-25,"United States","channel_endemic_estimation",51670.4
2021-06-25,"United States","farrington_estimation_all",64511.8125876734
2021-06-25,"United States","farrington_partial",53868.1273349671
2021-07-02,"United States","deaths_count",57112
2021-07-02,"United States","channel_endemic_estimation",52080.8
2021-07-02,"United States","farrington_estimation_all",66109.4516164998
2021-07-02,"United States","farrington_partial",52463.6006825397
2021-07-09,"United States","deaths_count",57086
2021-07-09,"United States","channel_endemic_estimation",51639.6
2021-07-09,"United States","farrington_estimation_all",67949.1815729696
2021-07-09,"United States","farrington_partial",52287.598314919
2021-07-16,"United States","deaths_count",58325
2021-07-16,"United States","channel_endemic_estimation",51236.6
2021-07-16,"United States","farrington_estimation_all",70014.7705672996
2021-07-16,"United States","farrington_partial",52148.9567914194
2021-07-23,"United States","deaths_count",60150
2021-07-23,"United States","channel_endemic_estimation",51108.2
2021-07-23,"United States","farrington_estimation_all",71170.953691082
2021-07-23,"United States","farrington_partial",52922.1104769774
2021-07-30,"United States","deaths_count",63212
2021-07-30,"United States","channel_endemic_estimation",51103.2
2021-07-30,"United States","farrington_estimation_all",70645.8931508688
2021-07-30,"United States","farrington_partial",52631.5099381452
2021-08-06,"United States","deaths_count",66394
2021-08-06,"United States","channel_endemic_estimation",51437.4
2021-08-06,"United States","farrington_estimation_all",69341.4902017644
2021-08-06,"United States","farrington_partial",51583.5017035443
2021-08-13,"United States","deaths_count",69371
2021-08-13,"United States","channel_endemic_estimation",50737.6
2021-08-13,"United States","farrington_estimation_all",67890.9006585719
2021-08-13,"United States","farrington_partial",52493.795178907
2021-08-20,"United States","deaths_count",71511
2021-08-20,"United States","channel_endemic_estimation",50798.4
2021-08-20,"United States","farrington_estimation_all",66830.4654214114
2021-08-20,"United States","farrington_partial",51761.733763199
2021-08-27,"United States","deaths_count",72749
2021-08-27,"United States","channel_endemic_estimation",51031.2
2021-08-27,"United States","farrington_estimation_all",66554.6755992123
2021-08-27,"United States","farrington_partial",51947.5044116814
2021-09-03,"United States","deaths_count",72933
2021-09-03,"United States","channel_endemic_estimation",51496
2021-09-03,"United States","farrington_estimation_all",66042.7500665021
2021-09-03,"United States","farrington_partial",52963.973729301
2021-09-10,"United States","deaths_count",72594
2021-09-10,"United States","channel_endemic_estimation",51672
2021-09-10,"United States","farrington_estimation_all",65735.2483485307
2021-09-10,"United States","farrington_partial",53617.09026329
2021-09-17,"United States","deaths_count",71388
2021-09-17,"United States","channel_endemic_estimation",51689.6
2021-09-17,"United States","farrington_estimation_all",65658.4549203001
2021-09-17,"United States","farrington_partial",53981.2435772085
2021-09-24,"United States","deaths_count",70425
2021-09-24,"United States","channel_endemic_estimation",52194.8
2021-09-24,"United States","farrington_estimation_all",65689.5068658645
2021-09-24,"United States","farrington_partial",54414.4059619469
2021-10-01,"United States","deaths_count",68229
2021-10-01,"United States","channel_endemic_estimation",52482.8
2021-10-01,"United States","farrington_estimation_all",66136.805162936
2021-10-01,"United States","farrington_partial",54907.5881085867
2021-10-08,"United States","deaths_count",66565
2021-10-08,"United States","channel_endemic_estimation",52712.8
2021-10-08,"United States","farrington_estimation_all",67236.2721804861
2021-10-08,"United States","farrington_partial",55585.8617815484
2021-10-15,"United States","deaths_count",66137
2021-10-15,"United States","channel_endemic_estimation",53798
2021-10-15,"United States","farrington_estimation_all",67914.0957991968
2021-10-15,"United States","farrington_partial",55960.7881568642
2021-10-22,"United States","deaths_count",65562
2021-10-22,"United States","channel_endemic_estimation",53936.8
2021-10-22,"United States","farrington_estimation_all",69590.8022704352
2021-10-22,"United States","farrington_partial",56259.9795723263
2021-10-29,"United States","deaths_count",65033
2021-10-29,"United States","channel_endemic_estimation",53924.2
2021-10-29,"United States","farrington_estimation_all",72090.6412856699
2021-10-29,"United States","farrington_partial",57160.3119949044
2021-11-05,"United States","deaths_count",65827
2021-11-05,"United States","channel_endemic_estimation",54848.6
2021-11-05,"United States","farrington_estimation_all",75752.3180765387
2021-11-05,"United States","farrington_partial",57677.0749932872
2021-11-12,"United States","deaths_count",65218
2021-11-12,"United States","channel_endemic_estimation",55417
2021-11-12,"United States","farrington_estimation_all",80375.7889803758
2021-11-12,"United States","farrington_partial",58184.4345175444
2021-11-19,"United States","deaths_count",65948
2021-11-19,"United States","channel_endemic_estimation",55660.8
2021-11-19,"United States","farrington_estimation_all",84226.6328324643
2021-11-19,"United States","farrington_partial",59037.5248627277
2021-11-26,"United States","deaths_count",67659
2021-11-26,"United States","channel_endemic_estimation",55308.2
2021-11-26,"United States","farrington_estimation_all",88608.7854937496
2021-11-26,"United States","farrington_partial",59697.0957300843
2021-12-03,"United States","deaths_count",69009
2021-12-03,"United States","channel_endemic_estimation",56772.8
2021-12-03,"United States","farrington_estimation_all",94094.9820006116
2021-12-03,"United States","farrington_partial",60173.3620157208
